image_path,x1,y1,x2,y2,x3,y3,x4,y4
0/0.jpg,27,21,100,20,100,39,27,41
0/1.jpg,23,21,95,21,95,43,23,43
0/10.jpg,18,21,83,23,82,45,17,42
0/100.jpg,15,15,110,15,110,43,15,43
0/101.jpg,16,18,100,18,100,47,16,48
0/102.jpg,16,12,116,12,116,52,16,52
0/103.jpg,8,17,96,20,95,45,7,43
0/104.jpg,28,25,110,18,112,38,29,49
0/105.jpg,23,13,104,12,105,39,23,40
0/106.jpg,21,10,114,10,114,41,22,43
0/107.jpg,17,14,93,12,93,37,18,41
0/108.jpg,21,12,104,10,104,41,21,44
0/109.jpg,18,19,116,23,114,49,17,44
0/11.jpg,24,22,94,22,94,46,24,46
0/110.jpg,16,16,116,13,117,41,16,45
0/111.jpg,17,15,109,15,109,46,17,49
0/112.jpg,23,20,107,20,106,39,23,41
0/113.jpg,20,24,107,23,105,48,18,49
0/114.jpg,16,6,110,10,109,43,15,37
0/115.jpg,23,17,101,19,100,44,22,42
0/116.jpg,23,17,98,15,99,37,24,40
0/117.jpg,17,18,97,18,97,45,17,45
0/118.jpg,11,18,92,18,90,44,11,42
0/119.jpg,32,17,104,17,104,38,32,40
0/12.jpg,20,18,82,18,82,36,20,37
0/120.jpg,15,17,102,19,103,45,15,43
0/121.jpg,25,17,108,17,108,41,25,41
0/122.jpg,21,17,79,20,78,42,21,38
0/123.jpg,35,24,105,27,105,49,35,45
0/124.jpg,20,25,93,22,93,41,20,44
0/125.jpg,20,16,100,16,100,38,20,38
0/126.jpg,22,16,112,16,111,36,22,36
0/127.jpg,22,23,109,22,108,40,22,42
0/128.jpg,22,14,108,14,109,36,22,38
0/129.jpg,20,24,99,24,98,44,20,46
0/13.jpg,25,18,97,17,97,37,25,39
0/130.jpg,25,19,95,19,94,39,25,39
0/131.jpg,26,16,87,17,87,38,25,36
0/132.jpg,25,23,111,23,111,55,25,57
0/133.jpg,4,20,47,20,46,37,3,37
0/134.jpg,24,15,78,15,75,31,23,32
0/135.jpg,20,15,101,15,101,36,21,38
0/136.jpg,22,19,99,19,98,41,22,42
0/137.jpg,25,17,105,15,106,36,26,42
0/138.jpg,24,17,101,16,101,39,25,42
0/139.jpg,14,20,101,16,102,42,15,47
0/14.jpg,31,22,98,22,97,40,31,41
0/140.jpg,20,16,111,10,110,39,20,37
0/141.jpg,25,19,110,15,109,37,25,35
0/142.jpg,18,16,104,9,104,47,18,43
0/143.jpg,8,24,116,15,115,46,8,44
0/144.jpg,21,18,117,13,116,37,21,36
0/145.jpg,19,13,106,0,107,32,20,52
0/146.jpg,35,29,100,18,101,40,35,52
0/147.jpg,13,21,98,19,98,47,15,48
0/148.jpg,25,13,83,12,83,32,25,34
0/149.jpg,28,25,114,24,115,39,28,41
0/15.jpg,28,24,91,23,91,44,28,45
0/150.jpg,28,15,105,16,105,38,28,36
0/151.jpg,20,17,110,17,110,38,20,42
0/152.jpg,18,18,102,17,102,40,18,43
0/153.jpg,17,16,105,16,105,40,17,41
0/154.jpg,16,17,90,17,90,41,15,40
0/155.jpg,24,18,92,19,92,38,24,38
0/156.jpg,17,18,107,17,107,43,17,45
0/157.jpg,23,21,113,21,114,41,23,41
0/158.jpg,8,22,96,19,96,44,9,48
0/159.jpg,10,16,99,15,97,42,10,44
0/16.jpg,20,20,94,17,94,39,20,41
0/160.jpg,15,17,106,18,106,41,15,40
0/161.jpg,13,21,93,22,93,45,13,44
0/162.jpg,11,16,78,16,78,37,11,39
0/163.jpg,24,14,100,3,101,43,24,54
0/164.jpg,13,13,104,10,104,35,15,38
0/165.jpg,17,14,99,11,98,40,18,42
0/166.jpg,10,21,93,22,92,45,10,44
0/167.jpg,21,18,99,19,99,41,21,40
0/168.jpg,17,17,86,17,86,39,17,42
0/169.jpg,26,17,104,16,104,40,26,42
0/17.jpg,23,17,85,18,86,38,23,36
0/170.jpg,14,15,94,15,94,43,15,42
0/171.jpg,22,17,104,18,104,39,22,37
0/172.jpg,22,15,93,14,93,41,23,43
0/173.jpg,23,22,94,13,96,41,25,50
0/174.jpg,27,19,93,13,95,30,28,38
0/175.jpg,17,18,97,14,98,40,18,45
0/176.jpg,20,23,106,24,105,45,20,45
0/177.jpg,14,15,114,16,114,42,14,40
0/178.jpg,18,25,107,25,108,46,18,45
0/179.jpg,19,23,111,21,111,46,19,48
0/18.jpg,24,26,106,28,106,52,24,49
0/180.jpg,11,23,106,21,106,47,11,50
0/181.jpg,11,20,100,20,100,37,11,38
0/182.jpg,21,17,106,17,105,44,21,45
0/183.jpg,14,21,108,20,108,39,14,40
0/184.jpg,19,12,103,8,105,40,19,46
0/185.jpg,21,13,100,9,101,35,21,39
0/186.jpg,21,19,108,17,107,39,21,42
0/187.jpg,22,16,108,14,109,36,23,40
0/188.jpg,21,16,109,13,109,39,21,41
0/189.jpg,22,14,112,15,111,47,21,46
0/19.jpg,33,23,102,24,102,38,33,39
0/190.jpg,13,9,113,9,113,41,12,39
0/191.jpg,15,18,112,20,110,42,14,41
0/192.jpg,16,12,93,16,92,40,16,37
0/193.jpg,20,18,94,21,94,44,20,41
0/2.jpg,24,18,102,16,103,38,26,42
0/20.jpg,16,24,81,24,81,47,16,46
0/21.jpg,22,19,99,18,98,40,22,43
0/22.jpg,25,22,99,22,99,42,25,42
0/23.jpg,22,24,100,21,101,39,23,41
0/24.jpg,19,20,101,17,102,39,20,41
0/25.jpg,26,21,102,20,102,39,26,41
0/26.jpg,21,17,101,18,101,45,20,45
0/27.jpg,27,19,105,20,104,50,26,48
0/28.jpg,23,21,92,21,92,41,23,42
0/29.jpg,14,16,92,16,92,43,14,44
0/3.jpg,24,19,108,18,109,43,24,45
0/30.jpg,27,21,103,25,101,50,26,45
0/31.jpg,21,19,102,17,103,42,21,45
0/32.jpg,29,21,104,21,104,40,29,41
0/33.jpg,35,21,97,19,97,40,35,42
0/34.jpg,20,18,99,16,98,37,20,42
0/35.jpg,22,23,107,21,108,40,22,40
0/36.jpg,27,17,101,17,101,39,26,39
0/37.jpg,22,19,106,19,106,40,22,40
0/38.jpg,19,20,101,20,101,41,19,40
0/39.jpg,18,16,97,16,97,39,17,39
0/4.jpg,25,18,105,18,105,39,25,38
0/40.jpg,26,18,105,18,104,40,26,39
0/41.jpg,11,17,104,15,104,41,11,45
0/42.jpg,24,17,110,12,111,36,24,42
0/43.jpg,23,20,112,20,113,46,23,45
0/44.jpg,11,15,104,15,103,43,12,44
0/45.jpg,24,20,103,20,104,43,24,44
0/46.jpg,15,15,92,15,92,40,15,41
0/47.jpg,23,22,106,21,107,42,23,45
0/48.jpg,18,25,100,25,100,44,18,45
0/49.jpg,17,19,100,19,100,43,17,44
0/5.jpg,30,18,108,17,108,40,30,41
0/50.jpg,25,24,112,28,111,47,24,43
0/51.jpg,20,13,95,12,95,35,20,36
0/52.jpg,23,14,110,12,111,43,23,44
0/53.jpg,14,14,93,12,94,47,14,49
0/54.jpg,24,17,101,19,101,46,24,45
0/55.jpg,20,18,98,20,97,44,20,42
0/56.jpg,22,21,103,21,103,47,22,47
0/57.jpg,16,19,97,20,97,43,16,42
0/58.jpg,18,16,106,5,108,42,19,54
0/59.jpg,11,22,96,11,98,46,13,56
0/6.jpg,26,14,101,14,101,38,26,37
0/60.jpg,22,16,98,9,98,47,22,53
0/61.jpg,18,17,98,17,98,48,18,48
0/62.jpg,29,13,101,13,101,42,29,45
0/63.jpg,31,20,97,20,97,44,31,45
0/64.jpg,18,19,107,18,107,40,18,41
0/65.jpg,18,12,93,11,93,38,18,39
0/66.jpg,17,17,96,17,97,37,17,38
0/67.jpg,14,16,105,16,105,39,14,40
0/68.jpg,24,20,106,21,106,43,24,43
0/69.jpg,20,16,103,16,103,44,20,44
0/7.jpg,19,12,100,11,101,41,19,42
0/70.jpg,26,11,111,13,111,42,25,40
0/71.jpg,13,18,95,18,94,39,13,38
0/72.jpg,17,24,97,24,98,44,16,45
0/73.jpg,22,19,106,19,106,39,22,38
0/74.jpg,27,18,105,19,104,45,26,44
0/75.jpg,15,18,102,18,101,40,15,41
0/76.jpg,23,19,105,19,105,38,22,38
0/77.jpg,20,16,113,18,111,41,20,38
0/78.jpg,22,12,101,12,101,41,21,40
0/79.jpg,15,18,95,18,96,38,15,39
0/8.jpg,20,22,91,24,90,42,20,41
0/80.jpg,20,14,101,17,100,42,19,40
0/81.jpg,21,15,100,19,100,42,20,40
0/82.jpg,14,11,113,6,114,51,14,57
0/83.jpg,21,11,103,12,102,43,21,42
0/84.jpg,10,14,114,14,115,45,10,47
0/85.jpg,12,15,107,16,107,42,12,42
0/86.jpg,16,17,107,17,107,45,16,45
0/87.jpg,11,16,98,16,98,44,12,44
0/88.jpg,21,19,111,17,111,39,21,43
0/89.jpg,20,17,108,15,109,46,20,49
0/9.jpg,21,17,106,18,106,37,21,36
0/90.jpg,13,16,104,16,103,43,13,43
0/91.jpg,21,17,103,19,102,48,21,45
0/92.jpg,19,17,109,19,107,44,18,41
0/93.jpg,14,17,104,18,103,41,14,37
0/94.jpg,16,15,101,15,101,44,16,43
0/95.jpg,10,21,102,24,102,51,9,47
0/96.jpg,20,20,109,22,108,47,20,45
0/97.jpg,11,21,102,21,103,44,11,45
0/98.jpg,13,19,86,19,87,45,13,45
0/99.jpg,15,13,112,13,112,40,15,42
1/200.jpg,14,13,109,14,108,39,14,38
1/201.jpg,15,18,86,18,87,44,15,45
1/202.jpg,17,25,96,25,96,51,17,51
1/203.jpg,19,15,102,15,102,38,19,38
1/204.jpg,17,20,101,19,101,42,17,42
1/205.jpg,18,16,111,17,110,40,18,38
1/206.jpg,17,16,114,19,113,41,16,37
1/207.jpg,24,19,108,20,107,50,24,49
1/208.jpg,21,23,107,23,106,45,21,43
1/209.jpg,17,21,102,21,102,39,17,40
1/210.jpg,11,21,96,21,97,43,11,44
1/211.jpg,19,18,111,17,112,39,19,40
1/212.jpg,19,22,103,22,103,48,19,50
1/213.jpg,16,21,105,21,105,41,17,42
1/214.jpg,23,23,105,23,106,46,23,46
1/215.jpg,14,21,103,21,103,43,14,43
1/216.jpg,18,24,109,23,109,46,18,48
1/217.jpg,12,20,121,21,121,41,12,41
1/218.jpg,21,16,110,15,110,37,21,38
1/219.jpg,9,16,102,13,102,44,9,48
1/220.jpg,10,16,108,13,109,42,10,46
1/221.jpg,18,15,108,15,108,44,18,42
1/222.jpg,12,14,104,15,103,43,11,41
1/223.jpg,13,15,114,16,114,46,13,44
1/224.jpg,15,15,104,15,105,45,15,46
1/225.jpg,15,14,109,13,108,48,15,48
1/226.jpg,14,14,99,14,99,44,15,43
1/227.jpg,27,17,114,18,114,40,27,41
1/228.jpg,18,18,113,18,114,45,18,45
1/229.jpg,21,18,109,16,110,42,21,45
1/230.jpg,20,20,103,17,104,42,20,46
1/231.jpg,23,18,107,19,107,38,23,36
1/232.jpg,12,15,107,15,107,49,12,49
1/233.jpg,18,13,102,11,102,45,18,46
1/234.jpg,18,21,103,23,103,47,17,46
1/235.jpg,14,14,110,14,110,41,14,41
1/236.jpg,16,16,104,15,104,49,17,50
1/237.jpg,16,14,94,12,95,43,16,44
1/238.jpg,14,16,105,16,105,42,14,41
1/239.jpg,13,18,107,18,106,45,12,46
1/240.jpg,23,15,106,15,104,39,22,38
1/241.jpg,13,15,81,15,81,45,13,46
1/242.jpg,31,16,87,12,88,44,31,50
1/243.jpg,13,16,96,19,93,49,12,47
1/244.jpg,20,21,106,21,105,42,20,41
1/245.jpg,15,17,106,18,106,40,15,40
1/246.jpg,16,19,107,19,107,40,16,41
1/247.jpg,26,17,106,17,107,41,26,40
1/248.jpg,19,22,94,17,94,49,19,57
1/249.jpg,22,11,111,7,111,31,22,36
1/250.jpg,17,14,109,13,109,40,17,42
1/251.jpg,9,17,119,15,119,43,9,46
1/252.jpg,17,16,97,16,96,44,17,42
1/253.jpg,12,19,111,14,113,46,13,49
1/254.jpg,19,16,110,15,110,41,20,41
1/255.jpg,22,13,107,8,108,37,22,43
1/256.jpg,19,17,112,17,112,36,19,37
1/257.jpg,24,16,105,16,106,43,24,44
1/258.jpg,12,12,127,12,127,44,11,44
1/259.jpg,22,16,123,16,126,42,22,40
1/260.jpg,8,17,117,15,118,41,9,43
1/261.jpg,20,10,105,7,105,36,18,41
1/262.jpg,18,14,84,11,84,40,17,43
1/263.jpg,16,26,101,28,100,52,14,49
1/264.jpg,15,20,105,20,106,41,15,41
1/265.jpg,17,13,97,13,97,36,17,37
1/266.jpg,9,15,103,13,104,39,9,42
1/267.jpg,17,20,114,18,115,39,18,44
1/268.jpg,12,15,116,14,117,40,13,40
1/269.jpg,22,14,107,14,107,46,22,45
1/270.jpg,17,11,109,10,109,42,17,45
1/271.jpg,11,19,100,21,100,45,11,44
1/272.jpg,12,15,110,17,109,44,13,42
1/273.jpg,17,16,106,17,106,41,17,41
1/274.jpg,23,20,109,20,110,43,23,43
1/275.jpg,17,17,113,17,113,43,16,43
1/276.jpg,14,19,106,19,107,45,14,46
1/277.jpg,17,7,110,3,110,45,18,49
1/278.jpg,11,17,101,17,101,48,11,47
1/279.jpg,11,18,98,17,98,40,10,42
1/280.jpg,12,17,121,20,120,50,12,47
1/281.jpg,16,16,111,14,111,40,16,44
1/282.jpg,14,19,104,13,106,41,16,48
1/283.jpg,18,17,100,16,100,42,18,43
1/284.jpg,20,15,114,8,116,37,22,43
1/285.jpg,12,21,108,20,110,41,13,42
1/286.jpg,14,31,115,35,114,61,13,60
1/287.jpg,9,16,113,16,113,45,8,45
1/288.jpg,11,19,95,21,94,50,11,48
1/289.jpg,16,21,89,18,89,39,17,41
1/290.jpg,21,24,106,22,105,44,22,45
1/291.jpg,10,18,106,17,106,41,10,42
1/292.jpg,10,17,110,16,110,40,10,42
1/293.jpg,17,16,91,16,92,40,17,41
1/294.jpg,19,12,102,13,101,42,19,43
1/295.jpg,16,17,106,17,105,41,16,41
1/296.jpg,21,14,100,14,100,38,21,38
1/297.jpg,17,10,90,10,90,40,17,40
1/298.jpg,14,16,103,16,103,40,14,39
1/299.jpg,9,15,94,13,95,37,9,40
1/300.jpg,17,26,99,26,98,45,17,45
1/301.jpg,17,22,107,22,108,40,17,41
1/302.jpg,13,21,111,16,112,43,13,49
1/303.jpg,17,18,111,13,112,40,17,47
1/304.jpg,24,15,102,14,102,44,24,46
1/305.jpg,15,16,84,16,85,51,15,50
1/306.jpg,14,11,109,11,109,45,14,45
1/307.jpg,21,23,100,15,101,46,22,53
1/308.jpg,19,20,102,11,102,39,18,45
1/309.jpg,18,15,101,15,102,40,16,41
1/310.jpg,18,18,100,14,101,37,19,42
1/311.jpg,13,16,110,13,111,44,14,48
1/312.jpg,9,20,104,19,105,51,9,52
1/313.jpg,20,19,113,19,112,45,19,45
1/314.jpg,11,22,106,22,106,46,11,45
1/315.jpg,15,19,100,18,101,38,15,40
1/316.jpg,25,21,105,21,106,44,25,42
1/317.jpg,15,25,100,21,102,47,16,51
1/318.jpg,18,28,104,24,105,48,18,53
1/319.jpg,18,28,101,29,101,50,18,49
1/320.jpg,22,23,97,19,98,49,22,54
1/321.jpg,9,15,95,15,95,36,9,34
1/322.jpg,17,22,117,22,116,47,17,47
1/323.jpg,10,19,105,18,106,42,10,44
1/324.jpg,13,20,101,19,101,43,13,45
1/325.jpg,16,22,109,21,109,50,16,51
1/326.jpg,16,13,93,16,92,40,16,38
1/327.jpg,15,22,112,22,112,46,15,47
1/328.jpg,19,15,111,15,111,47,18,49
1/329.jpg,16,20,110,18,110,47,16,50
1/330.jpg,16,16,117,16,117,42,16,42
1/331.jpg,15,16,114,17,113,47,15,45
1/332.jpg,11,14,104,14,104,41,11,43
1/333.jpg,15,14,110,14,111,44,15,43
1/334.jpg,15,14,90,16,89,39,15,37
1/335.jpg,16,16,108,15,108,41,16,45
1/336.jpg,18,22,101,19,102,40,18,43
1/337.jpg,19,16,94,17,94,40,19,40
1/338.jpg,16,15,96,16,97,44,16,42
1/339.jpg,5,12,117,13,116,44,6,43
1/340.jpg,17,22,101,16,100,45,19,54
1/341.jpg,17,13,117,13,117,36,17,37
1/342.jpg,10,15,113,14,114,37,10,39
